brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
Great Value,0078742237527,a,"SUGAR SNAP PEAS, BROCCOLI, GREEN BEANS, YELLOW SQUASH, RED PEPPERS, CARROTS, YELLOW PEPPERS, WATER CHESTNUTS",['en:plastic'],,"Great Value Sugar Snap Pea Stir Fry, Mixed Vegetables, 20 oz Bag"
Naked,0810006580983,b,"Oriental-Style Noodles (Soft Wheat, Durum wheat, semolina, egg, salt, Potassium Carbonate), Sugar, Potato Starch, Natural Flavors (Wheat), Maltodextrin (Wheat), Tomato Powder, Spices, Dried Green Bell Pepper, Dried Red Bell Pepper, Onion Powder, Garlic Powder, Salt, Caramel Color (Wheat), Yeast Extract, Dried Scallions, Dried Jalapeño Pepper, Citric Acid, Cayenne Flavored Salt, Malt Vinegar Extract",['en:plastic'],,Naked Chinese style firecracker
"Kraft, Heinz",0021000077137,unknown,"ENRICHED MACARONI PRODUCT (WHEAT FLOUR, GLYCEROL MONOSTEARATE, NIACIN, FERROUS SULFATE [IRON). THIAMIN MONONITRATE (VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID); CHEESE SAUCE MIX (WHEY, CORN SYRUP SOLIDS, MILK, PALM OIL, MILK PROTEIN CONCENTRATE, MODIFIED FOOD STARCH, MILKFAT, SALT, MALTODEXTRIN, CONTAINS LESS THAN 2% OF CALCIUM CARBONATE, SODIUM TRIPHOSPHATE, MEDIUM CHAIN TRIGLYCERIDES, DRIED BUTTERMILK, CITRIC ACID, SODIUM PHOSPHATE, CREAM, LACTIC ACID, CALCIUM PHOSPHATE, NONFAT DRY MILK, GUAR GUM, CHEESE CULTURE, WITH PAPRIKA, TURMERIC, AND ANNATTO ADDED FOR COLOR, ENZYMES, NATURAL FLAVOR, XANTHAN GUM); MODIFIED FOOD e* STARCH, MALTODEXTRIN, ACETYLATED MONOGLYCERIDES, SALT, MEDIUM CHAIN TRIGLYCERIDES. 1% 1. CONTAINS: WHEAT, MILK.","['en:plastic', 'en:cardboard']",,Big Bowl Macaroni & Cheese Dinner
Circle K,0194283102770,unknown,"raisins coated with sunflower oil. cashews, almonds, sunfilower oil and/or cottonseed 0 salt. may contain shell pieces. contains: cashews and almonds. this product is manufactured and packaged on shared equipment with peanuts, other tree nuts, milk, wheat, soy and egg. tempe, az 85284 www.circlek.com warning: choking hazard should not be given to children under 4 years ckf4000",['en:plastic'],,Cashew mix with raisins & almonds
allegro coffee,0014321111420,f,,['en:plastic'],,medium roast Mocha Java
Planters,02902807,unknown,,['en:plastic'],,lightly salted dry roasted peanuts
whole-some pantry,0041190055869,a,grape tomatoes,['en:plastic'],,Grape Tomatoes
Sprouts,0646670462597,d,"MANUFACTURED IN A FACILITY THAT ALSO CERTIFIED BY BAYSTATE ORGANIC CERTIFIERS 0% Calcium 20mg Iron 2.1mg Potassium 190mg 2% 10% 4% PROCESSES: ALMONDS, BRAZIL NUTS. CASHEW NUTS, COCONUT, HAZELNUTS, PECANS, SOY & WALNUTS MANUFACTURED EXCLUSIVELY FOR SPROUTS FARMERS MARKET PHOENIX, ARIZONA 85054 www.SPROUTS.COM ERTIFIED BY BAYSTATE ORGANIC CERTIFIERS 7.",['en:plastic'],,Steel Cut Oats organic Gluten Free
Country Time,0043000069950,not-applicable,"water, sugar, citric acid, potassium citrate, sodium polyphosphate, ascorbic acid (vitamin c), natural flavor, rosemary extract, yellow 5, calcium disodium edta, potassium sorbate","['en:lid-or-cap', 'en:plastic', 'en:bottle-cap', 'en:bottle-or-vial', 'en:bottle', 'en:label']","Empty & Replace Cap, Plastic Bottle to recycle",Lemonade
Kroger,0011110018960,unknown,"parmesan cheese: (pasteurized part-skim cow's milk cheese cultures, salt, enzymes), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor. contains: milk.",['en:plastic'],,kroger parmesan cheese
Roli Roti,0860000106252,unknown,"Pork, Orange Peel, Salt, and Bay Leaf.",['en:plastic'],,Pork Carnitas
Uno más Margarita,0083103971033,e,"NOT DRINK ALCOHOLIC BEVERAGES DURING THE SURGEON GENERAL, WOMEN SHOULD GOVERNMENT WARNING: (1) ACCORDING TO argarita INE COCKTA Blue Agave wine with real lime juice and natural flavors MARGARITA WINE COCKTAIL AGAVE WINE WITH NATURAL FLAVORS AND CERTIFIED COLOR 13.9% ALC./VOL. CONTAINS SULFITES PRODUCED & BOTTLED BY PATCO BRANDS, AUBURNDALE, FL 33823 REFRIGERATE AFTER OPENING 8310397103 GOVERNMENT WARNING: (1) ACCORDING TO DRECNANG TUE DICK OF BIRTH","['en:plastic', 'en:bottle']",,Uno Mas Margarita Strawberry Lime
,2981500010639,unknown,banana,['en:plastic'],,Plátanos ecológicos
"J7,PepsiCo Holdings",4601512004300,e,"пюре из 1 плода манго, пюре из 1 дольки гуавы, сок из 0,5 плода лайма, сок из 1,5 плода личи, сахар и глюкозно-фруктозный сироп, натуральный ароматизатор «Личи», натуральный ароматизатор «Лайм», регулятор кислотности - лимонная кислота, вода.","['en:plastic', 'en:hdpe-high-density-polyethylene', 'en:pp-polypropylene', 'ru:84-c-pap-tetra-pak']",,Напиток сокосодержащий Энергия Фруктов манго-гуава-лайм-личи с мякотью для детского питания «Сокровище Тропиков»
Kirkland,0211545313825,a,"CHICKEN ICHICKEN. HATER, SALT, MAL TODENTRIN. PAPRIKA, HONEV, CORNSTARCH, SUGAR, PEPPERS, ONION, SPICES. CITRIC ACID. YEAST EXTRACTI TORTILLAIHATER, CORN MASA FLOUR. BLEACHED EMRICHED FLOUREHHEAT FLOUR, VITAMINS( 83. B1.82), IRON. FOLIC ACID) WHEAT GLUTEN, SALT, DEXTROSE. LEAVENING(SODIUM ALUMIMUM & MONOCALCIUM PHOSPHATES. BAKING SODA, SODIUM ACID PYROPHOSPHATE), OAT FIBER. SSL. SAFFLOWER OIL, MONO - & DIGLYCERIDES. FUMARIC ACID. POTASSIUM SORBATE.CALCIUM PROPIONATE, SODIUM PROPIONATE, SORBIC ACID, CELLULOSE GUM. GUAR GUM. LIME]. SALSA (TOMATOES. ONION. PEPPERS CCHILI.JAPAPENO. BELL). HATER, TOMATO PASTE, CILANTRO. SPICES, ONION.CELERY, GARLIC.CORN GLUTEN, XANTHAN GUM. YERST EXTRACT, SPICE EXTRACTS. SALT, VINEGAR. CI TRIC ACID. ACETIC ACID, LACTIC ACID. CELLULOSE GUM, CALCIUM CHLORIDE), CILANTRO SAUCE [CULTURED PASTEURIZED SKIM MILK. CREAM, HATER. CANOLA OIL. VINEGAR. MODIFIED CORN STARCH. SOY PROTEIN. SALT. GELATIN, NONFAT MILK, LEMON & LIME JUICE. ONION, MANTHAN GUM, NATURAL FLAVORS. SPICE.LOH-FAT BUTTERMILK. RED HINE UINEGAR. CILANTRO. CHILES. GARLIC, SEA SALT. SALT. PUMPKIN SEEDS. SODIUM BENZOATE, POTASSIUM SORBATE, ENZYMES). CHEESE BLEND (CULTURED PASTEURIZED MILK, SALT. ENZYMES. ART. COLOR. NATAMYCIN), LIMES, GREEN & RED CABBAGE. BROCCOLI. CARROTS CONTAINS: WHEAT, MILK, SOV MADE IN A FACILITY THAT PROCESSES HHEAT. SOV. NILK. EGG TREE NUTS. PEANUTS, FISH, CRUSTACEAN. SHELLFISH. SESANE.",['en:plastic'],,Chicken Street Tacos
USDA Food,0715001101600,unknown,"Dried Apples (Dried Apples, Sodium Sulfate), Dned Blueberries (Dried Blueberries, Cane Sugar, Sunflower Oil), Dried Pitted Plums (Dried Pitted Plums, Rice Flour, Potassium Sorbate), Dried Figs (Dried Figs, Rice Flour, Potassium Sorbate), Raisins (Rasins, Palm Oil ) and Almonds May contain etoccasional pit or partial pit.","['en:plastic', 'en:bag']",,Dried fruit and nut mix
amazon kitchen,0842379122156,unknown,"COOKED YELLOW RICE (WATER, BASMATI RICE, ONIONS, SAFFLOWER OIL, SPICES (INCLUDING TURMERIC), SEA SALT), TIKKA MASALA SAUCE (TOMATOES [TOMATOES. SALT CALCIUM CHLORIDE, CITRIC ACID], PASTEURIZED HEAVY CREAM, WATER, GINGER PURÉE GINGER, WATER), GARLIC, TOMATO PASTE [TOMATOES, CITRIC ACID], UNSALTED BUTTER[CREAM (MILK), NATURAL FLAVOR), EXTRA VIRGIN OLIVE OIL, SEA SALT, PAPRIKA [PAPRIKA, ROSEMARY EXTRACT], TIKKA MASALA SEASONING [SPICES (INCLUDING PAPRIKA)], GREEN SERRANO PEPPERS, DEHYDRATED GARLIC, TURMERIC, GARAM MASALA SEASONING (SPICES]), SEASONED CHICKEN (CHICKEN BREAST MEAT WITH RIB MEAT, WATER, SALT), SPINACH, CILANTRO.",['en:plastic'],,CHICKEN TIKKA MASALA
Amazon kitchen,0842379188756,unknown,"ALFREDO SAUCE (WHOLE MILK [MILK, VITAMIN D3), PASTEURIZED HEADY CREAM, WATER, PECORINO ROMANO CHEESE(PASTEURIZED SHEEP'S MILK, CHEESE CULTURE, SALT, RENNET, CELLULOSE POWDER], PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURES, SALT, ENZYMES, POWDERED CELLULOSE), UNSALTED BUTTER (CREAM (MILK), NATURAL FLAVOR], CORN STARCH, RICE STARCH, SEA SALT, SPICE), COOKED FETTUCCINE PASTA (WATER, FETTUCCINE PASTA (DURUM WHEAT SEMOLINA, NIACIN, FERROUS SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SAFFLOWER OIL), GRILLED CHICKEN STRIPS (CHICKEN BREAST MEAT WITH RIB MEAT, WATER, LESS THAN 2% OF: LEMON JUICE CONCENTRATE, VINEGAR, SALT, RICE STARCH, BLACK PEPPER), BROCCOLI, PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURES, SALT, ENZYMES, POWDERED CELLULOSE), PECORINO ROMANO CHEESE (PASTEURIZED SHEEP'S MILK, CHEESE CULTURE, SALT, RENNET, CELLULOSE POWDER), PARSLEY.",['en:plastic'],,Chicken fettuccine alfredo
Sprouts Farmers Market,0646670463464,b,,"['en:plastic', 'en:bag']",,Dark chocolate covered pretzels
Palermo,0810014610269,unknown,,['en:plastic'],,Honeycomb
Southern Grove,4099100182590,f,,['en:plastic'],,Shelled Walnuts
Winding River Farms,0854450005555,b,Blueberries,"['en:plastic', 'en:frozen']",,Blueberries
Bulletproof,0815709024499,unknown,"Grass-fed butter, MCT oil (caprylic and capric acid triglycerides from highly refined coconut oil), acacia gum, Milk","['en:plastic', 'en:hdpe-high-density-polyethylene']",,Original Creamer
Western Family,0015400028356,not-applicable,Distilled Water,['en:plastic'],,Distilled Water
"Erhard pâtissier glacier, Erhard",3428420012217,b,,"['en:plastic', 'fr:pot-en-plastique']",,glace poire caramel beurre salé et speculos
Circle K,0194283101599,unknown,,['en:plastic'],,Hot abd spicky pork cracklins
Purely Pecans,0646345330985,unknown,_Pecans_,"['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:plastic-1']",,Nuttin' but Pecans
Toundra,0627893000049,not-applicable,cucumber,['en:plastic'],,Cucumber
Compliments,0055742567106,unknown,"Pork, Water, Salt, Sugar, Sodium phosphate, Smoke, Sodium erythorbate, Sodium nitrite",['en:plastic'],,Naturally Smoked Thick Cut Bacon
Circle K,0194283550496,unknown,,['en:plastic'],,Chocolate raisins
Evolved,0748252205230,unknown,"ORGANIC COCONUT BUTTER, ORGANIC CACAO, ORGANIC COCONUT SUGAR, ORGANIC CACAO BUTTER, HIMALAYAN SEA SALT.",['en:plastic'],,Dark Chocolate Classic Coconut Butter Cups
Mountain Dew,0012000207679,not-applicable,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavor, Gum Arabic, Sodium Benzoate (Preserves Freshness), Caffeine, Sodium Citrate, Glycerol Ester of Rosin, Calcium Disodium EDTA (To Protect Flavor).","['en:plastic', 'en:bottle']",,MTN Dew Genderbread Swapd
Mountain Dew,0012000211799,not-applicable,"Carbonated Water, Citric Acid, Aspartame, Potassium Citrate, Natural Flavor, Caffeine, Sodium Benzoate (Preserves Freshness), Gum Arabic, Acesulfame Potassium, Sucralose, Glycerol Ester of Rosin, Calcium Disodium EDTA (To Protect Flavor), Red 40.","['en:plastic', 'en:bottle']",,Mountain Dew Zero Sugar Spark
Mountain Dew,0012000210099,not-applicable,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural and Artificial Flavor, Gum Arabic, Sodium Benzoate, Caffeine, Sodium Citrate, Glycerol Ester of Rosin, Calcium Disodium EDTA, Yellow 6, Red 40","['en:plastic', 'en:bottle']",Please Recycle,Mtn Dew Uproar
Milton's craft bakers,5660548697640,b,"ORGANIC ENRICHED WHEAT FLOUR (ORGANIC WHEAT FLOUR, NIACIN, IRON, THIAMIN, RIBOFLAVIN, FOLIC ACID), ORGANIC SUNFLOWER OIL, ORGANIC CHEDDAR CHEESE (ORGANIC MILK, SALT, ENZYMES), ORGANIC RICE FLOUR, ORGANIC CANE SUGAR, ORGANIC CHEDDAR CHEESE FLAVOR (ORGANIC CHEDDAR CHEESE, SALT, ENZYMES). CONTAINS 2% OR LESS OF YEAST EXTRACT, SEA SALT, ORGANIC CANE SYRUP, AMMONIUM BICARBONATE, LACTIC ACID, SODIUM BICARBONATE, MONOCALCIUM PHOSPHATE, NATURAL FLAVOR, ORGANIC WHITE PEPPER, ENZYMES, ORGANIC CAYENNE PEPPER.",['en:plastic'],,cheesy cheddars white cheddar organic snack crackers
"Kirkland Signature,Kirkland",0096619039265,d,"Organic Eggs 
Allergens: Eggs","['en:plastic', 'en:paper']",,Organic Hard-Boiled Eggs
McCormick,05269817,b,bay leaves.,['en:plastic'],,Bay Leaves
Gk Snacks,0079113444124,unknown,"PEANUTS, HOT CAJUN CORN STICKS (YELLOW CORN MASA, SOYBEAN OIL, CAJUN SEASONING MALTODEXTRIN, SALT, SPICES&HERBS, ONION POWDER, TOMATO POWDER, GARLIC POWDER, NATURAL FLAVORING, GREEN PEPPER POWDER, MODIFIED CORNSTARCH), PRETZELS (WHEAT FLOUR, SALT, SUNFLOWER OR CANOLA OR RICE OIL, CORN SYRUP, MALT SYRUP, YEAST), SESAME STICKS (ENRICHED WHEAT FLOUR [UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON (REDUCED IRON), THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, BEET POWDER (COLOR], TURMERIC (COLOR), ALMONDS, SEASONING (SALT, SPICES, SOY OIL), VEGETABLE OIL (PEANUT AND/OR SOY).",['en:plastic'],,Santa Fe Mix
"Baker's Corner, Aldi",17848131,e,100% COCOA,['en:plastic'],,Baking Cocoa
Copper Cow Coffee,0817841021626,a,"Organic Vietnamese Coffee, Black Tea, Cornflower Petals, Bergamot Flavor Creamer Ingredients Milk, Sugar Allergen Information Contains milk","['en:plastic', 'en:paper']",,Copper Cow Coffee Earl Grey Vietnamese Coffee
Selgenhof,4250062401048,a-plus,Milch,['en:plastic'],,"Selgenhof Joghurt 3,8 %"
Crazy Cuisine,0078139735186,unknown,"CHICKEN: BREAST MEAT CHICKEN WITH RIB MEAT, WATER, UNBLEACHED ENRICHED WHEAT FLOUR (NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SOYBEAN OIL, CORNSTARCH AND CONTAINS LESS THAN 2% OF: MODIFIED FOOD STARCH, SALT, ISOLATED SOY PROTEIN, POTASSIUM CARBONATE, DEXTROSE, EGGS, SPICES, WHEY SOLIDS, CARRAGEENAN, TRICALCIUM PHOSPHATE, SODIUM BICARBONATE. SAUCE: WATER, SUGAR, DISTILLED VINEGAR, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), MODIFIED CORNSTARCH, SPICE, GINGER, GARLIC, MANDARIN ORANGE FLAVOR. CONTAINS: EGG, MILK, SOY, AND WHEAT.","['en:plastic', 'en:cardboard']",,Mandarin Orange chicken
polar Wisconsin,0854550007435,unknown,"Serving size 1 bottle Amount per serving Calories % Daily Value* 0% Total Fat 0g Sodium 0mg 0% 0% Protein 0g 0% 0591-000-003 (015) 602-6317 Please Recycle BPA FREE CT, HI, ME, NY 50 OR 100","['en:plastic', 'en:bottle']",,Water
Trolli,0041420055775,c,"CORN SYRUP, SUGAR, DEXTROSE, ACID, ACACIA (GUM ARABIC), TAPIOCA DEXTRIN, CITRIC ACID, MALIC ACID, CONFECTIONER'S GLAZE FLAVORS, SODIUM CITRATE, TITANIUM DIOXIDE (COLOR), SODIUM LACTATE, RED 40, CARNAUBA WAX, YELLOW 5 LAKE, RED 40 LAKE, BLUE 2 LAKE, YELLOW 5, BLUE 1, BLUE 1 LAKE, RED 3. THIS PRODUCT WAS MANUFACTURED IN A FACILITY WHERE MILK, EGGS, TREE NUTS, PEANUTS, WHEAT AND SOY ARE USED IN THE PRODUCTION OF OTHER PRODUCTS. MANUFACTURED BY FERRARA CANDY COMPANY CHICAGO, IL 60607 ®. TM & ©2020 FERRARA CANDY COMPANY. All Rights Reserved. Safety Warning: Small objects such as hard and soft candies may inadvertently become lodged in the throat. 150033",['en:plastic'],,Trolli
"Sprouts Farmers Market, Sprout",0646670516627,a,"CASSAVA FLOUR, AVOCADO OIL, COCONUT FLOUR, NACHO SEASONING (TAPIOCA GREEN BELL PEPPER POWDER, PAPRIKA, SPICES, TOMATO POWDER, GARLIC POWDER, YEAST EXTRACT, SOLIDS, SEA SALT, ONION POWDER, NATURAL FLAVOR, SOLIDS, SEA SALT, ONION POWDER, NATURAL FLAVOR PAPRIKA EXTRACT, LACTIC ACID, CITRIC ACID, WHITE DISTILLED VINEGAR, JALAPENO PEPPER), CHIA SEEDS.",['en:plastic'],,Grain Free Tortilla Chips
Simple Superfoods,0723175335868,unknown,,['en:plastic'],,
Fresh Thyme,0841330109809,d,"Dry Roasted Peanuts, Salt. CONTAINS: Peanuts. Good manufacturing practices are used to seg ingredients in a facility that also processes re",['en:plastic'],,Creamy Old Fashioned Peanut Butter
San Benedetto,0859091001454,a,,['en:plastic'],,The Peach Ice Tea
Dauntless Snacks,0860004439707,unknown,"100% Grass-fed Beef, Sea Salt, Encapsulated Citric Acid, Cultured Celery Juice Powder (Celery Powder, Sea Salt), Black Pepper, Garlic Powder, in a Collagen Casing",['en:plastic'],,Beef Stick
thrive market,0671635702463,unknown,"PURIFIED WATER, KONJAC FLOUR, CALCIUM HYDROXIDE",['en:plastic'],,Shirarake rice
Wonderful,01410891,e,"Pistachios (98.5%), salt(1.5%).",['en:plastic'],,Roasted Salted XXL Pistachios
sweet street,0749017303918,c,"enriched wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, sugar, palm oil, butter, cream, salt, natural flavor, whey, nonfat milk, cocoa, yeast, baking soda, soy lecithin, caramel, water, molasses, natural flavor, corn syrup, baking soda, salt",['en:plastic'],,Salted caramel cookie
"Kroger, The Kroger Co.",0011110355843,unknown,"PSYLLIUM HUSK, GELATIN, POLYSORBATE 80, CARAMEL color, acacia, black iron oxide","['en:plastic', 'en:hdpe-high-density-polyethylene']",,Fiber Capsules
Hill Country Fare,0041220369102,a,WHITE DISTILLED VINEGAR (DILUTED WITH WATER TO 5% ACIDITY),['en:plastic'],,Distilled White Vinegar
"Kroger Co., Kroger, The Kroger Co.",0011110888655,a,"TOMATO CONCENTRATE, TAPIOCA SYRUP, ORGANIC DISTILLED VINEGAR, SUGAR, LESS THAN 2% OF: SALT, ONION POWDER, ) SPICES, NATURAL FLAVOR.",['en:plastic'],,50% less sugar and sodium tomato ketchup
bee,0073563026589,unknown,,['en:plastic'],,Carnival Pops
"Weis Quality, Weis",03971545,d,"pasteurized milk, cheese culture, salt, enzymes",['en:plastic'],,Monterey jack cheese
d8,06698441,unknown,,['en:plastic'],,d8valley
Good Smart,0071725800336,unknown,,['en:plastic'],,Trail mix
Deep River Snacks,0850668000740,a,"POTATOES, SUNFLOWER OIL, JALAPENO CHILI PEPPER, AND SALT.",['en:plastic'],,Zesty Jalapeño
Frankonia,3046791970907,b,"Polydextrose, wheat flour, sweetener: maltitol, hazelnut flour partially deoiled (10%), cocoa paste (7.1%), sweetener: erythritol; rice-corn crispies (6.6% ) (nice flour, maize bran), rape oil, hazelnut paste (5.9%), fat reduced cocoa (3.7%), cocoa butter&quot;, emuisifiers: lecithins soy). polyglyceral-polyricinoleate wheat starch favours, coconut oil, raising agent: sodium bicarbonate; salt.","['en:plastic', 'en:paper']",,Hazelnut waffles
Polar,0071537052213,c,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, ORANGE JUICE FROM CONCENTRATE, CITRIC ACID, NATURAL ORANGE EXTRACT. POTASSIUM BENZOATE (PRESERVATIVE), CALCIUM DISODIUM EDTA (TO PRESERVE FRESHNESS)",['en:plastic'],,Orange dry sparkling beverage
Wegmans,0077890485552,unknown,,['en:plastic'],,Satsuma mandarins
Earth First,0744096655408,unknown,paper,['en:plastic'],,Paper Napkins
Shoprite,0041190074419,f,MILLED WHITE BASMATI RICE,['en:plastic'],,Basmati Rice
Trader Joe's,00664868,unknown,"WHITE CHOCOLATE (SUGAR, COCOA BUTTER, WHOLE MILK POWDER, SWEET WHEY POWDER, SOY LECITHIN ), MILK CHOCOLATE DROPS SUGAR, COCOA BUTTER, WHOLE MILK POWDER, COCOA MASS, SKIM MILK POWDER, SOY LECITHIN, NATURAL VANILLA FLAVOR (WHEAT DEXTROSE, VANILLA BEAN EXTRACTIVES), MARSHMALLOWS GLUCOSE-FRUCTOSE SYRUP, SUGAR, WATER, GELATIN PORK), CORNSTARCH, NATURAL VANILLA FLAVOR WHEAT DEXTROSE, VANILLA BEAN EXTRACTIVES]). DARK CHOCOLATE (COCOA MASS, SUGAR, COCOA BUTTER, SOY LECITHIN), COLOR ADDED (FRUIT JUICE, VEGETABLE JUICE).","['en:plastic', 'en:cardboard']",,Hot Cocoa Snowman
"Kwik Trip,Kwikery Bake Shop,Kwikery",0039779040450,c,"Bleached Wheat Flour, Sugar, Palm Oil, Invert Syrup, Water, Cocoa Butter, Contains 2% Or Less Of: Acacia Gum, Baking Soda, Blue 1 Lake, Blue 2 Lake, Chocolate Liquor, Confectioner's Glaze, Corn Syrup, Cornstarch, Dextrose, Eggs, Folic Acid, Glycerin, Macadamia Nut Oil, Milk, Molasses, Natural & Artificial Flavors, Niacin, Nonfat Milk, Peanut Oil, Red 40 Lake, Reduced Iron, Riboflavin, Salt, Sodium Silicoaluminate To Prevent Caking, Soy Lecithin, Soybean Oil, Thiamine Mononitrate, Titanium Dioxide Added For Color, Tricalcium Phosphate To Prevent Caking, Vanilla, Yellow 5 Lake, Yellow 6, Yellow 6 Lake. BAKE SHOP Allergen Information: Contains Egg, Milk, Peanut, Soy, Tree Nuts (Macadamia Nut), Wheat.",['en:plastic'],,Kwikery bakeshop button cookies
Price Chopper,0041735248800,unknown,"PORTUGUESE BOULE (ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], WATER, CORNMEAL, BROWN SUGAR, SALT, YEAST, ASCORBIC ACID [DOUGH CONDITIONER], ENZYMES). &lt;CONTAINS WHEAT. THIS PRODUCT WAS MADE ON SHARED EQUIPMENT THAT PROCESSES WHEAT, MILK, EGGS, TREE NUTS, PEANUTS, SESAME, & SOY",['en:plastic'],,Portuguese boule
Aldi,2000000130646,b,"Organic Cream, Gellan Gum
CONTAINS: MILK",['en:plastic'],"Empty & Replace Cap
Bottle not recyclable unless label removed",Simply Nature Organic Heavy Whipping Cream
The Kwikery,0039779002526,unknown,"Macaroni, Water, Enriched Durum Semolina (Durum Semolina Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Cheese Sauce Blend (Water, Pasteurized Process Cheese Food (American Cheese (Cultured Milk, Cream, Salt, Enzymes), Water, Cream, Sodium Phosphate, Salt, Sorbic Acid, Apocarotenal, Cream Soup Base (Modified Starch, Coconut Oil, Corn Syrup Solids, Maltodextrin, Sugar, Salt, Soybean Oil, Dipotassium Phosphate, Sodium Caseinate, Mono - & Diglycerides, Yeast Extract, Onion Powder, Xanthan Gum, Dehydrated Garlic, Spice, Natural Flavor, Extractives of Turmeric & Annatto), Colby Jack Cheese (Pasteurized Milk, Salt, Cheese Cultures, Enzymes, Annatto), Cheddar Cheese (Pasteurized Milk, Salt, Cheese Cultures, Enzymes, Annatto), Swiss Cheese (Pasteurized Part Skim Milk, Cheese Culture, Salt, Enzymes), Buffalo Chicken (Chicken Tenderloin, Buffalo Style Seasoning (Chili Pepper, Salt, Cornstarch, Sugar, Maltodextrin, Natural Flavors, Garlic Powder, Citric Acid, Yeast Extract, Cayenne Pepper Sauce Powder (Aged Red Peppers, Distilled Vinegar, Salt, Garlic), White Distilled Vinegar, Extractive of Paprika), Soybean Oil, Preservatives (Cultured Sugar, Vinegar), Buffalo Sauce (Cayenne Pepper Sauce (Cayenne Red Pepper, Distilled Vinegar, Salt, Dried Garlic), Water, Margarine (Soybean & Hydrogenated Soybean Oils, Water, Salt, Mono - & Diglycerides, Soy Lecithin, Sodium Benzoate, Natural & Artificial Flavor, Beta-Carotene, Vitamin A Palmitate), Monterey Jack Cheese With Peppers (Pasteurized Milk, Jalapeno Peppers, Cheese Culture, Salt, Enzymes, Potato Starch & Cellulose, Natamycin).",['en:plastic'],,Buffalo Chicken Mac & Cheese
"Kellogg's, Froot Loops",5425028905376,d,"Sugar, corn flour blend (whole grain yellow corn flour, degerminated yellow corn flour), wheat flour, whole grain oat flour, modified food starch, corn syrup 2%, modified corn starch, dextrose, hydrogenated vegetable oil (coconut oil, soybean oil, cottonseed oil), oat fiber, salt, natural and artificial flavor, soluble corn fiber, gelatin, red 40, yellow 5, yellow 6, blue 1, turmeric extract (color), annatto extract (color), BHT, Vitamins and Minerals (vitamin C (sodium ascorbate, ascorbic acid), niacinamide, reduced iron, zinc oxide, vitamin B6 (pyridoxine hydrochloride), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), vitamin A palmitate, folic acid, vitamin B12, vitamin D3).","['en:plastic', 'en:paper', 'en:bag', 'en:box']",,Froot Loops Marshmallows
Circle K,0194283101476,unknown,,['en:plastic'],,Hot and spicy pork rinds
Sous Vide,0243217019155,f,"BEEF SIRLOIN, SEASONING (spices (black pepper, ground four peppercorn blend (black, white, green, red)), dehydrated garlic, sea salt, canola oil), SUGAR, SEA SALT.","['en:plastic', 'en:paper', 'en:cardboard-sleeve', 'en:plastic-tray', 'en:plastic-wrap']",,Sliced Grass-Fed Beef Sirloin
Klement Sausage Co.,0073608036870,unknown,"2000ca ingredients: Beef, salt, contains Less than 2% of Flavoring, Corn syrup Dextrose, Sodium Erythorbate, lactic acid starter Culture, sodium Nitrite: MORE INFO AT Klements Sausage Co., Inc. kee, WI 53207 Starter KLEMENTS.COM lly Cooked. Refrigerate After opening",['en:plastic'],,beef summer sausage
Arla,6413300019780,unknown,"Quark bajo en grasa (leche desnatada pasteurizada, cultivo de inicio) (91%), concentrado de zumo de fruta, fresa (4,5%), fécula de maíz, aroma natural, colorante (concentrado de zanahoria), extracto de bálsamo de limón, agente gelificante (E440 pectinas), aroma natural de lima, edulcorante (steviol glugosida E960). Contenido de Lactosa inferior a &lt;0,01 g/100 g. Apto para vegetarianos. QUESO FRESCO BATIDO (QUARK) sin lactosa, bajo en grasa fresa y bálsamo de limón.","['en:plastic', 'en:paper']",,Protein Fresa
"Signature Select,Better Living Brands LLC, Signature",0021130603091,unknown,,"['en:plastic', 'en:bottle']","1 transparent plastic bottle
1 opaque colored plastic cap",Signature Select Minced Onion
